benchmark,config,status,result,time_real,exit_code,time_cpu,memory
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p0.smt2,,ok,unsat,27.6,0,27.4,128.7
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p1.smt2,,ok,unsat,27.3,0,27.3,128.7
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p10.smt2,,ok,unsat,27.3,0,27.2,129.4
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p11.smt2,,ok,unsat,27.5,0,27.4,128.9
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p12.smt2,,ok,unsat,27.5,0,27.4,129.2
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p13.smt2,,ok,unsat,27.4,0,27.3,128.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p14.smt2,,ok,unsat,27.8,0,27.7,130.2
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p15.smt2,,ok,unsat,27.5,0,27.4,129.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p16.smt2,,ok,unsat,27.6,0,27.5,128.8
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p17.smt2,,ok,unsat,27.5,0,27.4,128.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p18.smt2,,ok,unsat,27.4,0,27.3,129.7
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p19.smt2,,ok,unsat,27.3,0,27.1,128.8
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p2.smt2,,ok,unsat,27.9,0,27.8,129.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p20.smt2,,ok,unsat,27.4,0,27.3,129.3
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p21.smt2,,ok,unsat,27.5,0,27.4,129.4
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p22.smt2,,ok,unsat,27.6,0,27.5,128.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p23.smt2,,ok,unsat,27.4,0,27.3,129.5
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p24.smt2,,ok,unsat,27.4,0,27.3,129.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p25.smt2,,ok,unsat,27.6,0,27.5,128.8
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p26.smt2,,ok,unsat,27.3,0,27.2,129.0
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p27.smt2,,ok,unsat,27.8,0,27.7,129.5
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p28.smt2,,ok,unsat,27.3,0,27.2,128.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p29.smt2,,ok,unsat,27.5,0,27.4,129.2
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p3.smt2,,ok,unsat,27.8,0,27.6,128.8
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p30.smt2,,ok,unsat,27.3,0,27.2,129.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p31.smt2,,ok,unsat,27.6,0,27.3,129.8
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p32.smt2,,ok,unsat,27.3,0,27.2,128.9
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p33.smt2,,ok,unsat,27.3,0,27.3,129.3
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p34.smt2,,ok,unsat,28.0,0,27.9,129.1
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p35.smt2,,ok,unsat,27.5,0,27.5,129.4
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p36.smt2,,ok,unsat,27.4,0,27.3,129.3
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p37.smt2,,ok,unsat,27.2,0,27.1,128.8
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p38.smt2,,ok,unsat,27.7,0,27.6,129.0
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p39.smt2,,ok,unsat,27.5,0,27.4,130.2
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p4.smt2,,ok,unsat,27.4,0,27.3,128.5
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p40.smt2,,ok,unsat,27.4,0,27.3,129.1
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p41.smt2,,ok,unsat,28.1,0,28.0,129.1
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p42.smt2,,ok,unsat,27.4,0,27.3,129.4
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p43.smt2,,ok,unsat,27.3,0,27.2,129.1
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p44.smt2,,ok,unsat,27.3,0,27.2,128.9
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p45.smt2,,ok,unsat,27.4,0,27.3,129.3
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p46.smt2,,ok,unsat,27.4,0,27.4,128.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p47.smt2,,ok,unsat,27.4,0,27.3,129.5
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p48.smt2,,ok,unsat,27.2,0,27.1,128.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p49.smt2,,ok,unsat,27.2,0,27.1,129.3
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p5.smt2,,ok,unsat,27.4,0,27.3,129.5
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p50.smt2,,ok,unsat,27.4,0,27.4,129.0
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p51.smt2,,ok,unsat,27.8,0,27.8,128.8
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p52.smt2,,ok,unsat,27.6,0,27.6,129.0
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p53.smt2,,ok,unsat,27.2,0,27.1,129.4
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p54.smt2,,ok,unsat,27.4,0,27.3,128.9
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p55.smt2,,ok,unsat,27.8,0,27.7,129.0
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p56.smt2,,ok,unsat,27.9,0,27.8,129.9
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p57.smt2,,ok,unsat,27.4,0,27.3,129.5
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p58.smt2,,ok,unsat,27.4,0,27.3,128.9
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p59.smt2,,ok,unsat,27.4,0,27.2,128.5
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p6.smt2,,ok,unsat,27.7,0,27.6,129.5
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p60.smt2,,ok,unsat,27.7,0,27.6,128.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p61.smt2,,ok,unsat,27.3,0,27.2,128.6
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p62.smt2,,ok,unsat,27.4,0,27.3,128.7
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p63.smt2,,to,unknown,1201.0,0,1200.9,987.1
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p7.smt2,,ok,unsat,27.3,0,27.2,128.5
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p8.smt2,,ok,unsat,27.6,0,27.5,129.2
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate_p9.smt2,,ok,unsat,27.5,0,27.4,128.9
