benchmark,config,status,result,time_real,exit_code,time_cpu,memory
danoint-65_p0.smt2,,ok,unsat,1.3,0,1.3,18.8
danoint-65_p1.smt2,,ok,unsat,1.3,0,1.3,18.8
danoint-65_p10.smt2,,ok,unsat,1.3,0,1.3,18.9
danoint-65_p11.smt2,,ok,unsat,131.1,0,131.1,37.4
danoint-65_p12.smt2,,ok,unsat,1.3,0,1.3,18.1
danoint-65_p13.smt2,,ok,unsat,5.1,0,5.1,26.4
danoint-65_p14.smt2,,ok,unsat,295.6,0,295.6,50.3
danoint-65_p15.smt2,,to,unknown,1201.0,0,1201.0,58.3
danoint-65_p2.smt2,,ok,unsat,1.4,0,1.3,20.0
danoint-65_p3.smt2,,ok,unsat,1.3,0,1.3,19.4
danoint-65_p4.smt2,,ok,unsat,1.3,0,1.3,18.7
danoint-65_p5.smt2,,ok,unsat,1.3,0,1.3,19.0
danoint-65_p6.smt2,,ok,unsat,1.3,0,1.3,19.3
danoint-65_p7.smt2,,ok,unsat,1.4,0,1.4,19.7
danoint-65_p8.smt2,,ok,unsat,1.3,0,1.3,19.2
danoint-65_p9.smt2,,ok,unsat,282.4,0,282.4,50.3
