benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_301_p0.smt2,,to,unknown,1201.0,0,1201.0,395.8
smtcomp_301_p1.smt2,,to,unknown,1201.0,0,1200.9,396.0
smtcomp_301_p10.smt2,,to,unknown,1201.0,0,1201.0,394.4
smtcomp_301_p11.smt2,,to,unknown,1201.0,0,1200.9,398.4
smtcomp_301_p12.smt2,,to,unknown,1201.0,0,1201.0,403.3
smtcomp_301_p13.smt2,,to,unknown,1201.0,0,1201.0,390.1
smtcomp_301_p14.smt2,,to,unknown,1201.0,0,1201.0,401.9
smtcomp_301_p15.smt2,,to,unknown,1201.0,0,1200.9,403.4
smtcomp_301_p16.smt2,,to,unknown,1201.0,0,1201.0,393.3
smtcomp_301_p17.smt2,,to,unknown,1201.0,0,1201.0,396.7
smtcomp_301_p18.smt2,,to,unknown,1201.0,0,1201.0,388.6
smtcomp_301_p19.smt2,,to,unknown,1201.0,0,1201.0,398.1
smtcomp_301_p2.smt2,,to,unknown,1201.0,0,1200.9,390.9
smtcomp_301_p20.smt2,,to,unknown,1201.0,0,1201.0,398.9
smtcomp_301_p21.smt2,,to,unknown,1201.0,0,1201.0,390.7
smtcomp_301_p22.smt2,,to,unknown,1201.0,0,1201.0,400.8
smtcomp_301_p23.smt2,,to,unknown,1201.0,0,1200.9,284.5
smtcomp_301_p24.smt2,,to,unknown,1201.0,0,1201.0,403.8
smtcomp_301_p25.smt2,,to,unknown,1201.0,0,1201.0,404.4
smtcomp_301_p26.smt2,,to,unknown,1201.0,0,1201.0,406.0
smtcomp_301_p27.smt2,,to,unknown,1201.0,0,1201.0,400.5
smtcomp_301_p28.smt2,,to,unknown,1201.0,0,1201.0,390.9
smtcomp_301_p29.smt2,,to,unknown,1201.0,0,1201.0,405.7
smtcomp_301_p3.smt2,,to,unknown,1201.0,0,1201.0,263.7
smtcomp_301_p30.smt2,,to,unknown,1201.0,0,1201.0,403.4
smtcomp_301_p31.smt2,,to,unknown,1201.0,0,1201.0,399.2
smtcomp_301_p4.smt2,,to,unknown,1201.0,0,1201.0,401.2
smtcomp_301_p5.smt2,,to,unknown,1201.0,0,1201.0,266.5
smtcomp_301_p6.smt2,,to,unknown,1201.0,0,1201.0,403.5
smtcomp_301_p7.smt2,,to,unknown,1201.0,0,1201.0,397.7
smtcomp_301_p8.smt2,,to,unknown,1201.0,0,1201.0,398.2
smtcomp_301_p9.smt2,,to,unknown,1201.0,0,1201.0,402.2
