benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_65_p0.smt2,,to,unknown,1201.0,0,1201.0,669.4
smtcomp_65_p1.smt2,,ok,unsat,3.6,0,3.6,57.0
smtcomp_65_p10.smt2,,ok,unsat,3.6,0,3.6,57.6
smtcomp_65_p11.smt2,,ok,unsat,3.6,0,3.6,57.0
smtcomp_65_p12.smt2,,ok,unsat,3.6,0,3.6,56.7
smtcomp_65_p13.smt2,,ok,unsat,3.6,0,3.6,57.5
smtcomp_65_p14.smt2,,ok,unsat,3.6,0,3.5,56.8
smtcomp_65_p15.smt2,,ok,unsat,3.6,0,3.6,57.0
smtcomp_65_p16.smt2,,ok,unsat,3.5,0,3.5,56.9
smtcomp_65_p17.smt2,,ok,unsat,3.6,0,3.6,58.0
smtcomp_65_p18.smt2,,ok,unsat,3.5,0,3.5,57.0
smtcomp_65_p19.smt2,,ok,unsat,3.7,0,3.6,57.0
smtcomp_65_p2.smt2,,to,unknown,1201.0,0,1201.0,687.6
smtcomp_65_p20.smt2,,ok,unsat,3.5,0,3.5,56.8
smtcomp_65_p21.smt2,,ok,unsat,3.5,0,3.5,56.9
smtcomp_65_p22.smt2,,ok,unsat,3.7,0,3.7,57.6
smtcomp_65_p23.smt2,,ok,unsat,3.6,0,3.6,57.7
smtcomp_65_p24.smt2,,to,unknown,1201.0,0,1201.0,738.2
smtcomp_65_p25.smt2,,ok,unsat,3.6,0,3.6,56.9
smtcomp_65_p26.smt2,,to,unknown,1201.0,0,1200.8,748.9
smtcomp_65_p27.smt2,,ok,unsat,3.6,0,3.6,57.1
smtcomp_65_p28.smt2,,ok,unsat,3.6,0,3.6,57.0
smtcomp_65_p29.smt2,,to,unknown,1201.0,0,1201.0,768.0
smtcomp_65_p3.smt2,,ok,unsat,3.6,0,3.6,56.9
smtcomp_65_p30.smt2,,ok,unsat,3.5,0,3.5,57.0
smtcomp_65_p31.smt2,,to,unknown,1201.0,0,1201.0,646.8
smtcomp_65_p4.smt2,,ok,unsat,3.6,0,3.6,56.8
smtcomp_65_p5.smt2,,to,unknown,1201.0,0,1201.0,717.4
smtcomp_65_p6.smt2,,ok,unsat,3.6,0,3.6,57.5
smtcomp_65_p7.smt2,,to,unknown,1201.0,0,1201.0,788.7
smtcomp_65_p8.smt2,,ok,unsat,3.6,0,3.6,57.8
smtcomp_65_p9.smt2,,ok,unsat,3.5,0,3.5,57.1
