benchmark,config,status,result,time_real,exit_code,time_cpu,memory
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p0.smt2,,ok,unsat,1088.9,0,1088.9,82.2
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p1.smt2,,to,unknown,1201.0,0,1201.0,94.3
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p10.smt2,,ok,unsat,923.2,0,923.1,55.8
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p100.smt2,,ok,unsat,2.3,0,2.3,20.7
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p101.smt2,,ok,unsat,2.2,0,2.2,21.3
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p102.smt2,,ok,unsat,2.3,0,2.3,21.0
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p103.smt2,,ok,unsat,2.2,0,2.2,21.1
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p104.smt2,,ok,unsat,2.2,0,2.2,21.3
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p105.smt2,,ok,unsat,2.2,0,2.2,20.7
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p106.smt2,,ok,unsat,2.2,0,2.2,20.7
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p107.smt2,,ok,unsat,2.2,0,2.2,21.6
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p108.smt2,,ok,unsat,2.2,0,2.2,20.6
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p109.smt2,,ok,unsat,2.2,0,2.2,21.0
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1201.0,89.4
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p110.smt2,,ok,unsat,2.3,0,2.2,20.5
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p111.smt2,,ok,unsat,2.2,0,2.2,20.8
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p112.smt2,,ok,unsat,2.2,0,2.2,20.6
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p113.smt2,,ok,unsat,2.2,0,2.1,20.9
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p114.smt2,,ok,unsat,2.2,0,2.2,20.5
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate_p115.smt2,,ok,unsat,2.7,0,2.7,22.0
