benchmark,config,status,result,time_real,exit_code,time_cpu,memory
constraint-1007893_p0.smt2,,to,unknown,1201.0,0,1201.0,390.6
constraint-1007893_p1.smt2,,to,unknown,1201.0,0,1201.0,262.3
constraint-1007893_p10.smt2,,to,unknown,1201.0,0,1201.0,388.1
constraint-1007893_p11.smt2,,to,unknown,1201.0,0,1201.0,386.8
constraint-1007893_p12.smt2,,to,unknown,1201.0,0,1201.0,387.9
constraint-1007893_p13.smt2,,to,unknown,1201.0,0,1201.0,390.1
constraint-1007893_p14.smt2,,to,unknown,1201.0,0,1201.0,388.7
constraint-1007893_p15.smt2,,to,unknown,1201.0,0,1201.0,392.2
constraint-1007893_p2.smt2,,to,unknown,1201.0,0,1201.0,261.9
constraint-1007893_p3.smt2,,to,unknown,1201.0,0,1201.0,389.1
constraint-1007893_p4.smt2,,to,unknown,1201.0,0,1201.0,263.1
constraint-1007893_p5.smt2,,to,unknown,1201.0,0,1201.0,261.9
constraint-1007893_p6.smt2,,to,unknown,1201.0,0,1201.0,388.1
constraint-1007893_p7.smt2,,to,unknown,1201.0,0,1201.0,390.1
constraint-1007893_p8.smt2,,to,unknown,1201.0,0,1201.0,387.8
constraint-1007893_p9.smt2,,to,unknown,1201.0,0,1201.0,388.2
