benchmark,config,status,result,time_real,exit_code,time_cpu,memory
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p0.smt2,,ok,unsat,24.7,0,24.6,164.6
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p1.smt2,,ok,sat,843.2,0,842.9,724.5
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p10.smt2,,ok,unsat,41.4,0,41.2,541.8
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p11.smt2,,ok,unsat,41.7,0,41.2,541.7
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p12.smt2,,ok,unsat,41.8,0,41.6,541.4
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p13.smt2,,ok,unsat,41.6,0,41.5,542.3
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p14.smt2,,ok,unsat,42.7,0,42.5,541.1
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p15.smt2,,ok,unsat,41.8,0,41.5,541.7
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p16.smt2,,ok,unsat,41.3,0,41.2,540.8
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p17.smt2,,ok,unsat,41.6,0,41.3,540.8
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p18.smt2,,ok,unsat,42.7,0,42.5,541.5
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p19.smt2,,ok,unsat,41.2,0,40.9,541.6
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p2.smt2,,ok,unsat,24.6,0,24.5,166.4
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p20.smt2,,ok,unsat,41.6,0,41.3,541.3
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p21.smt2,,ok,unsat,41.1,0,41.0,541.4
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p22.smt2,,ok,unsat,41.6,0,41.3,541.4
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p23.smt2,,ok,unsat,42.2,0,42.0,541.1
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p24.smt2,,ok,unsat,41.0,0,40.9,541.2
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p25.smt2,,ok,unsat,41.3,0,41.1,541.5
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p26.smt2,,ok,unsat,42.7,0,42.5,540.6
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p27.smt2,,ok,unsat,41.3,0,41.2,541.5
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p28.smt2,,ok,unsat,41.9,0,41.6,541.7
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p29.smt2,,ok,unsat,41.1,0,40.9,542.2
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p3.smt2,,ok,unsat,51.5,0,51.2,583.7
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p30.smt2,,ok,unsat,41.5,0,41.1,540.9
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p31.smt2,,ok,sat,845.0,0,844.6,703.4
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p4.smt2,,ok,unsat,24.5,0,24.3,166.5
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p5.smt2,,ok,sat,1039.7,0,1039.5,733.5
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p6.smt2,,ok,unsat,41.2,0,41.0,541.0
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p7.smt2,,ok,unsat,42.7,0,42.3,579.3
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p8.smt2,,ok,unsat,41.3,0,41.2,540.7
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate_p9.smt2,,ok,unsat,41.1,0,40.9,541.3
