benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_255_p0.smt2,,ok,unsat,1.3,0,1.3,33.8
smtcomp_255_p1.smt2,,ok,unsat,1.3,0,1.3,33.7
smtcomp_255_p10.smt2,,ok,unsat,1.3,0,1.3,33.9
smtcomp_255_p11.smt2,,ok,unsat,1.3,0,1.3,33.8
smtcomp_255_p12.smt2,,ok,unsat,1.3,0,1.3,33.5
smtcomp_255_p13.smt2,,ok,unsat,1.4,0,1.3,33.8
smtcomp_255_p14.smt2,,ok,unsat,1.4,0,1.3,34.6
smtcomp_255_p15.smt2,,ok,unsat,1.3,0,1.3,33.9
smtcomp_255_p16.smt2,,ok,unsat,1.3,0,1.3,33.6
smtcomp_255_p17.smt2,,ok,unsat,1.3,0,1.3,34.3
smtcomp_255_p18.smt2,,ok,unsat,1.7,0,1.6,34.5
smtcomp_255_p19.smt2,,ok,unsat,1.4,0,1.4,34.0
smtcomp_255_p2.smt2,,ok,unsat,1.6,0,1.6,34.4
smtcomp_255_p20.smt2,,ok,unsat,1.4,0,1.4,34.6
smtcomp_255_p21.smt2,,ok,unsat,1.3,0,1.3,34.4
smtcomp_255_p22.smt2,,ok,unsat,1.3,0,1.3,34.1
smtcomp_255_p23.smt2,,ok,unsat,1.4,0,1.3,33.7
smtcomp_255_p24.smt2,,ok,unsat,1.3,0,1.3,33.8
smtcomp_255_p25.smt2,,ok,unsat,1.4,0,1.3,33.4
smtcomp_255_p26.smt2,,ok,unsat,1.5,0,1.3,34.0
smtcomp_255_p27.smt2,,ok,unsat,1.3,0,1.3,33.4
smtcomp_255_p28.smt2,,ok,unsat,1.6,0,1.6,33.9
smtcomp_255_p29.smt2,,ok,unsat,1.3,0,1.3,34.4
smtcomp_255_p3.smt2,,ok,unsat,1.3,0,1.2,33.8
smtcomp_255_p30.smt2,,ok,unsat,1.3,0,1.3,33.9
smtcomp_255_p31.smt2,,ok,unsat,1.5,0,1.5,34.2
smtcomp_255_p32.smt2,,ok,unsat,1.3,0,1.3,33.8
smtcomp_255_p33.smt2,,ok,unsat,1.6,0,1.5,34.5
smtcomp_255_p34.smt2,,ok,unsat,1.3,0,1.3,34.4
smtcomp_255_p35.smt2,,ok,unsat,1.7,0,1.7,34.2
smtcomp_255_p36.smt2,,ok,unsat,4.0,0,3.9,68.7
smtcomp_255_p37.smt2,,ok,unsat,4.2,0,4.1,68.9
smtcomp_255_p38.smt2,,ok,unsat,4.4,0,4.4,68.8
smtcomp_255_p39.smt2,,ok,unsat,3.9,0,3.8,69.2
smtcomp_255_p4.smt2,,ok,unsat,1.3,0,1.3,34.6
smtcomp_255_p40.smt2,,ok,unsat,1.3,0,1.3,34.2
smtcomp_255_p41.smt2,,ok,unsat,1.3,0,1.3,34.0
smtcomp_255_p42.smt2,,ok,unsat,1.3,0,1.3,33.9
smtcomp_255_p43.smt2,,ok,unsat,1.3,0,1.3,34.3
smtcomp_255_p44.smt2,,ok,unsat,4.9,0,4.8,69.0
smtcomp_255_p45.smt2,,ok,unsat,3.9,0,3.9,68.3
smtcomp_255_p46.smt2,,ok,unsat,3.9,0,3.9,68.6
smtcomp_255_p47.smt2,,ok,unsat,3.9,0,3.9,69.8
smtcomp_255_p48.smt2,,ok,unsat,1.4,0,1.4,35.1
smtcomp_255_p49.smt2,,ok,unsat,1.6,0,1.5,34.4
smtcomp_255_p5.smt2,,ok,unsat,1.3,0,1.3,34.3
smtcomp_255_p50.smt2,,ok,unsat,1.3,0,1.3,34.1
smtcomp_255_p51.smt2,,ok,unsat,1.5,0,1.4,33.8
smtcomp_255_p52.smt2,,ok,unsat,4.2,0,4.1,68.8
smtcomp_255_p53.smt2,,ok,unsat,4.0,0,4.0,69.5
smtcomp_255_p54.smt2,,to,unknown,1201.0,0,1201.0,202.7
smtcomp_255_p55.smt2,,ok,unsat,4.0,0,3.9,68.7
smtcomp_255_p56.smt2,,ok,unsat,1.3,0,1.3,33.8
smtcomp_255_p57.smt2,,ok,unsat,1.6,0,1.6,33.9
smtcomp_255_p58.smt2,,ok,unsat,1.3,0,1.3,33.6
smtcomp_255_p59.smt2,,ok,unsat,1.3,0,1.3,33.9
smtcomp_255_p6.smt2,,ok,unsat,1.3,0,1.3,33.8
smtcomp_255_p60.smt2,,ok,unsat,3.9,0,3.9,68.8
smtcomp_255_p61.smt2,,ok,unsat,4.0,0,4.0,69.0
smtcomp_255_p62.smt2,,ok,unsat,3.9,0,3.9,69.3
smtcomp_255_p63.smt2,,ok,unsat,4.4,0,4.3,69.1
smtcomp_255_p7.smt2,,ok,unsat,1.4,0,1.3,33.9
smtcomp_255_p8.smt2,,ok,unsat,1.3,0,1.3,34.0
smtcomp_255_p9.smt2,,ok,unsat,1.4,0,1.3,33.6
