benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_strcpy_original.i_3_3_2.bpl_11_p0.smt2,,ok,unsat,0.9,0,0.8,12.8
_standard_strcpy_original.i_3_3_2.bpl_11_p1.smt2,,ok,unsat,0.8,0,0.8,12.3
_standard_strcpy_original.i_3_3_2.bpl_11_p10.smt2,,ok,unsat,0.7,0,0.7,11.9
_standard_strcpy_original.i_3_3_2.bpl_11_p11.smt2,,ok,unsat,1.0,0,1.0,12.9
_standard_strcpy_original.i_3_3_2.bpl_11_p12.smt2,,ok,unsat,1.1,0,0.7,12.4
_standard_strcpy_original.i_3_3_2.bpl_11_p13.smt2,,ok,unsat,0.8,0,0.7,12.8
_standard_strcpy_original.i_3_3_2.bpl_11_p14.smt2,,ok,unsat,0.7,0,0.7,11.3
_standard_strcpy_original.i_3_3_2.bpl_11_p15.smt2,,ok,unsat,0.7,0,0.7,12.4
_standard_strcpy_original.i_3_3_2.bpl_11_p16.smt2,,ok,unsat,0.8,0,0.7,12.8
_standard_strcpy_original.i_3_3_2.bpl_11_p17.smt2,,ok,unsat,0.7,0,0.7,12.3
_standard_strcpy_original.i_3_3_2.bpl_11_p18.smt2,,ok,unsat,0.8,0,0.7,11.6
_standard_strcpy_original.i_3_3_2.bpl_11_p19.smt2,,ok,unsat,0.7,0,0.7,11.6
_standard_strcpy_original.i_3_3_2.bpl_11_p2.smt2,,ok,unsat,1.4,0,1.4,13.0
_standard_strcpy_original.i_3_3_2.bpl_11_p20.smt2,,ok,unsat,0.7,0,0.7,11.8
_standard_strcpy_original.i_3_3_2.bpl_11_p21.smt2,,ok,unsat,0.7,0,0.7,12.0
_standard_strcpy_original.i_3_3_2.bpl_11_p22.smt2,,ok,unsat,0.8,0,0.7,12.9
_standard_strcpy_original.i_3_3_2.bpl_11_p23.smt2,,ok,unsat,0.7,0,0.7,11.8
_standard_strcpy_original.i_3_3_2.bpl_11_p24.smt2,,ok,unsat,0.8,0,0.8,12.4
_standard_strcpy_original.i_3_3_2.bpl_11_p25.smt2,,ok,unsat,0.8,0,0.7,12.2
_standard_strcpy_original.i_3_3_2.bpl_11_p26.smt2,,ok,unsat,0.7,0,0.7,12.6
_standard_strcpy_original.i_3_3_2.bpl_11_p27.smt2,,ok,unsat,0.8,0,0.7,11.8
_standard_strcpy_original.i_3_3_2.bpl_11_p28.smt2,,ok,unsat,0.8,0,0.7,12.2
_standard_strcpy_original.i_3_3_2.bpl_11_p29.smt2,,ok,unsat,0.9,0,0.8,11.9
_standard_strcpy_original.i_3_3_2.bpl_11_p3.smt2,,ok,unsat,1.3,0,1.2,12.8
_standard_strcpy_original.i_3_3_2.bpl_11_p30.smt2,,ok,unsat,0.8,0,0.7,12.2
_standard_strcpy_original.i_3_3_2.bpl_11_p31.smt2,,ok,unsat,0.8,0,0.8,11.8
_standard_strcpy_original.i_3_3_2.bpl_11_p32.smt2,,ok,unsat,0.7,0,0.7,11.9
_standard_strcpy_original.i_3_3_2.bpl_11_p33.smt2,,ok,unsat,0.7,0,0.7,11.9
_standard_strcpy_original.i_3_3_2.bpl_11_p34.smt2,,ok,unsat,0.7,0,0.7,11.9
_standard_strcpy_original.i_3_3_2.bpl_11_p35.smt2,,ok,unsat,0.7,0,0.7,12.8
_standard_strcpy_original.i_3_3_2.bpl_11_p36.smt2,,ok,unsat,0.8,0,0.8,12.9
_standard_strcpy_original.i_3_3_2.bpl_11_p37.smt2,,ok,unsat,0.7,0,0.7,12.2
_standard_strcpy_original.i_3_3_2.bpl_11_p38.smt2,,ok,unsat,0.8,0,0.8,12.3
_standard_strcpy_original.i_3_3_2.bpl_11_p39.smt2,,ok,unsat,0.8,0,0.8,13.0
_standard_strcpy_original.i_3_3_2.bpl_11_p4.smt2,,ok,unsat,0.9,0,0.9,13.6
_standard_strcpy_original.i_3_3_2.bpl_11_p40.smt2,,ok,unsat,0.9,0,0.8,12.8
_standard_strcpy_original.i_3_3_2.bpl_11_p41.smt2,,ok,unsat,0.8,0,0.7,12.2
_standard_strcpy_original.i_3_3_2.bpl_11_p42.smt2,,ok,unsat,0.7,0,0.7,12.6
_standard_strcpy_original.i_3_3_2.bpl_11_p43.smt2,,ok,unsat,0.8,0,0.8,12.5
_standard_strcpy_original.i_3_3_2.bpl_11_p44.smt2,,ok,unsat,0.8,0,0.8,12.6
_standard_strcpy_original.i_3_3_2.bpl_11_p45.smt2,,ok,unsat,0.7,0,0.7,12.2
_standard_strcpy_original.i_3_3_2.bpl_11_p46.smt2,,ok,unsat,0.7,0,0.7,12.1
_standard_strcpy_original.i_3_3_2.bpl_11_p47.smt2,,ok,unsat,0.7,0,0.7,12.1
_standard_strcpy_original.i_3_3_2.bpl_11_p48.smt2,,ok,unsat,0.7,0,0.7,11.9
_standard_strcpy_original.i_3_3_2.bpl_11_p49.smt2,,ok,unsat,0.7,0,0.7,12.7
