benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fixnet-7000_p0.smt2,,to,unknown,1201.0,0,1201.0,283.9
fixnet-7000_p1.smt2,,ok,unsat,1.9,0,1.9,27.3
fixnet-7000_p10.smt2,,ok,unsat,2.4,0,2.4,29.2
fixnet-7000_p100.smt2,,ok,unsat,2.6,0,2.6,30.7
fixnet-7000_p101.smt2,,ok,unsat,2.5,0,2.4,31.1
fixnet-7000_p102.smt2,,ok,unsat,2.5,0,2.4,29.9
fixnet-7000_p103.smt2,,ok,unsat,1.9,0,1.8,28.5
fixnet-7000_p104.smt2,,ok,unsat,2.4,0,2.4,30.7
fixnet-7000_p105.smt2,,ok,unsat,2.6,0,2.6,30.6
fixnet-7000_p106.smt2,,ok,unsat,2.7,0,2.7,29.9
fixnet-7000_p107.smt2,,ok,unsat,2.6,0,2.6,30.4
fixnet-7000_p108.smt2,,ok,unsat,2.5,0,2.5,30.0
fixnet-7000_p109.smt2,,ok,unsat,2.5,0,2.5,30.2
fixnet-7000_p11.smt2,,ok,unsat,1.7,0,1.7,27.1
fixnet-7000_p110.smt2,,ok,unsat,1.8,0,1.8,28.2
fixnet-7000_p111.smt2,,ok,unsat,1.9,0,1.9,29.4
fixnet-7000_p112.smt2,,ok,unsat,1.8,0,1.8,28.4
fixnet-7000_p113.smt2,,ok,unsat,1.8,0,1.8,28.3
fixnet-7000_p114.smt2,,ok,unsat,1.7,0,1.7,28.3
fixnet-7000_p115.smt2,,ok,unsat,2.0,0,2.0,28.1
fixnet-7000_p116.smt2,,ok,unsat,1.7,0,1.7,28.8
fixnet-7000_p117.smt2,,ok,unsat,1.8,0,1.8,29.0
fixnet-7000_p118.smt2,,ok,unsat,1.9,0,1.8,28.3
fixnet-7000_p119.smt2,,ok,unsat,1.8,0,1.8,28.9
fixnet-7000_p12.smt2,,ok,unsat,1.8,0,1.8,28.0
fixnet-7000_p120.smt2,,ok,unsat,1.8,0,1.7,28.6
fixnet-7000_p121.smt2,,ok,unsat,1.9,0,1.8,28.4
fixnet-7000_p122.smt2,,ok,unsat,1.8,0,1.8,28.4
fixnet-7000_p123.smt2,,ok,unsat,1.7,0,1.7,28.2
fixnet-7000_p124.smt2,,ok,unsat,1.8,0,1.7,28.6
fixnet-7000_p125.smt2,,ok,unsat,1.8,0,1.8,28.8
fixnet-7000_p126.smt2,,ok,unsat,1.7,0,1.7,28.6
fixnet-7000_p127.smt2,,to,unknown,1201.0,0,1201.0,282.0
fixnet-7000_p13.smt2,,ok,unsat,2.7,0,2.6,31.7
fixnet-7000_p14.smt2,,ok,unsat,1.8,0,1.7,27.3
fixnet-7000_p15.smt2,,ok,unsat,1.8,0,1.8,27.7
fixnet-7000_p16.smt2,,ok,unsat,1.8,0,1.8,27.1
fixnet-7000_p17.smt2,,ok,unsat,1.8,0,1.7,27.8
fixnet-7000_p18.smt2,,ok,unsat,1.8,0,1.8,27.1
fixnet-7000_p19.smt2,,ok,unsat,1.9,0,1.8,27.6
fixnet-7000_p2.smt2,,ok,unsat,1.8,0,1.8,27.4
fixnet-7000_p20.smt2,,ok,unsat,1.8,0,1.8,27.4
fixnet-7000_p21.smt2,,ok,unsat,1.9,0,1.9,27.2
fixnet-7000_p22.smt2,,ok,unsat,1.8,0,1.7,27.7
fixnet-7000_p23.smt2,,ok,unsat,1.8,0,1.7,27.9
fixnet-7000_p24.smt2,,ok,unsat,1.7,0,1.7,27.5
fixnet-7000_p25.smt2,,ok,unsat,1.8,0,1.8,27.6
fixnet-7000_p26.smt2,,ok,unsat,1.8,0,1.7,28.5
fixnet-7000_p27.smt2,,ok,unsat,1.8,0,1.8,27.4
fixnet-7000_p28.smt2,,ok,unsat,1.8,0,1.7,27.8
fixnet-7000_p29.smt2,,ok,unsat,1.8,0,1.8,28.3
fixnet-7000_p3.smt2,,ok,unsat,1.8,0,1.8,27.1
fixnet-7000_p30.smt2,,ok,unsat,1.8,0,1.8,28.2
fixnet-7000_p31.smt2,,ok,unsat,1.7,0,1.7,27.5
fixnet-7000_p32.smt2,,ok,unsat,1.8,0,1.7,28.1
fixnet-7000_p33.smt2,,ok,unsat,1.8,0,1.8,27.5
fixnet-7000_p34.smt2,,ok,unsat,1.9,0,1.8,28.0
fixnet-7000_p35.smt2,,ok,unsat,1.8,0,1.8,27.8
fixnet-7000_p36.smt2,,ok,unsat,1.8,0,1.8,28.1
fixnet-7000_p37.smt2,,ok,unsat,1.8,0,1.7,27.7
fixnet-7000_p38.smt2,,ok,unsat,1.7,0,1.7,28.0
fixnet-7000_p39.smt2,,ok,unsat,1.8,0,1.8,27.6
fixnet-7000_p4.smt2,,ok,unsat,1.8,0,1.7,27.1
fixnet-7000_p40.smt2,,ok,unsat,1.8,0,1.7,28.3
fixnet-7000_p41.smt2,,ok,unsat,1.7,0,1.7,27.9
fixnet-7000_p42.smt2,,ok,unsat,1.8,0,1.8,27.5
fixnet-7000_p43.smt2,,ok,unsat,1.9,0,1.8,27.9
fixnet-7000_p44.smt2,,ok,unsat,1.8,0,1.8,28.5
fixnet-7000_p45.smt2,,ok,unsat,1.7,0,1.7,28.1
fixnet-7000_p46.smt2,,ok,unsat,1.8,0,1.8,28.0
fixnet-7000_p47.smt2,,ok,unsat,1.7,0,1.7,27.9
fixnet-7000_p48.smt2,,ok,unsat,1.8,0,1.8,27.9
fixnet-7000_p49.smt2,,ok,unsat,1.7,0,1.7,28.9
fixnet-7000_p5.smt2,,ok,unsat,1.7,0,1.7,27.1
fixnet-7000_p50.smt2,,ok,unsat,1.9,0,1.8,28.3
fixnet-7000_p51.smt2,,ok,unsat,1.8,0,1.7,28.0
fixnet-7000_p52.smt2,,ok,unsat,1.7,0,1.7,28.3
fixnet-7000_p53.smt2,,ok,unsat,1.9,0,1.8,27.7
fixnet-7000_p54.smt2,,ok,unsat,1.7,0,1.7,27.9
fixnet-7000_p55.smt2,,ok,unsat,1.8,0,1.8,28.3
fixnet-7000_p56.smt2,,ok,unsat,1.8,0,1.8,27.8
fixnet-7000_p57.smt2,,ok,unsat,1.9,0,1.8,27.7
fixnet-7000_p58.smt2,,ok,unsat,1.8,0,1.8,27.8
fixnet-7000_p59.smt2,,ok,unsat,1.8,0,1.7,28.0
fixnet-7000_p6.smt2,,ok,unsat,1.7,0,1.7,27.2
fixnet-7000_p60.smt2,,ok,unsat,1.8,0,1.8,28.5
fixnet-7000_p61.smt2,,ok,unsat,1.8,0,1.7,28.2
fixnet-7000_p62.smt2,,ok,unsat,2.0,0,1.9,27.9
fixnet-7000_p63.smt2,,ok,unsat,1.8,0,1.7,27.8
fixnet-7000_p64.smt2,,ok,unsat,1.7,0,1.7,28.4
fixnet-7000_p65.smt2,,ok,unsat,1.7,0,1.7,28.1
fixnet-7000_p66.smt2,,ok,unsat,1.8,0,1.7,28.2
fixnet-7000_p67.smt2,,ok,unsat,1.8,0,1.7,28.3
fixnet-7000_p68.smt2,,ok,unsat,1.8,0,1.8,27.9
fixnet-7000_p69.smt2,,ok,unsat,1.7,0,1.7,27.9
fixnet-7000_p7.smt2,,ok,unsat,1.8,0,1.8,27.4
fixnet-7000_p70.smt2,,ok,unsat,1.8,0,1.8,28.3
fixnet-7000_p71.smt2,,ok,unsat,1.8,0,1.7,27.9
fixnet-7000_p72.smt2,,ok,unsat,1.7,0,1.7,27.9
fixnet-7000_p73.smt2,,ok,unsat,1.9,0,1.8,27.7
fixnet-7000_p74.smt2,,ok,unsat,1.8,0,1.8,28.0
fixnet-7000_p75.smt2,,ok,unsat,1.8,0,1.7,28.9
fixnet-7000_p76.smt2,,ok,unsat,1.8,0,1.8,27.6
fixnet-7000_p77.smt2,,ok,unsat,1.8,0,1.7,28.2
fixnet-7000_p78.smt2,,ok,unsat,1.8,0,1.8,28.2
fixnet-7000_p79.smt2,,ok,unsat,1.8,0,1.8,28.3
fixnet-7000_p8.smt2,,ok,unsat,1.7,0,1.7,26.9
fixnet-7000_p80.smt2,,ok,unsat,1.8,0,1.8,29.2
fixnet-7000_p81.smt2,,ok,unsat,1.8,0,1.8,28.5
fixnet-7000_p82.smt2,,ok,unsat,1.7,0,1.7,28.2
fixnet-7000_p83.smt2,,ok,unsat,1.8,0,1.8,28.1
fixnet-7000_p84.smt2,,ok,unsat,1.8,0,1.8,28.8
fixnet-7000_p85.smt2,,ok,unsat,1.7,0,1.7,28.4
fixnet-7000_p86.smt2,,ok,unsat,1.8,0,1.8,27.9
fixnet-7000_p87.smt2,,ok,unsat,1.8,0,1.7,28.1
fixnet-7000_p88.smt2,,ok,unsat,1.7,0,1.7,28.3
fixnet-7000_p89.smt2,,ok,unsat,1.9,0,1.9,28.4
fixnet-7000_p9.smt2,,ok,unsat,1.7,0,1.7,28.1
fixnet-7000_p90.smt2,,ok,unsat,1.8,0,1.7,28.6
fixnet-7000_p91.smt2,,ok,unsat,1.8,0,1.8,28.4
fixnet-7000_p92.smt2,,ok,unsat,1.8,0,1.8,28.2
fixnet-7000_p93.smt2,,ok,unsat,1.9,0,1.9,29.3
fixnet-7000_p94.smt2,,ok,unsat,1.8,0,1.7,28.2
fixnet-7000_p95.smt2,,ok,unsat,1.8,0,1.8,28.6
fixnet-7000_p96.smt2,,ok,unsat,1.8,0,1.8,28.4
fixnet-7000_p97.smt2,,ok,unsat,1.9,0,1.9,28.3
fixnet-7000_p98.smt2,,ok,unsat,1.8,0,1.7,28.2
fixnet-7000_p99.smt2,,ok,unsat,2.6,0,2.5,30.3
