benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p0.smt2,,ok,unsat,32.0,0,31.8,114.3
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p1.smt2,,to,unknown,1201.0,0,1200.9,688.6
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p10.smt2,,ok,unsat,63.5,0,63.4,408.9
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p11.smt2,,ok,unsat,62.6,0,62.5,409.0
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p12.smt2,,ok,unsat,62.5,0,62.5,409.3
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p13.smt2,,ok,unsat,63.1,0,62.8,409.0
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p14.smt2,,ok,unsat,955.7,0,955.6,692.3
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p2.smt2,,ok,unsat,31.8,0,31.6,115.0
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p3.smt2,,ok,unsat,62.9,0,62.6,409.4
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p4.smt2,,ok,unsat,32.2,0,32.1,114.7
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p5.smt2,,to,unknown,1201.0,0,1200.9,916.8
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p6.smt2,,ok,unsat,63.0,0,62.8,409.7
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p7.smt2,,ok,unsat,63.9,0,63.7,429.6
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p8.smt2,,ok,unsat,62.3,0,62.1,409.2
sas2.t2.c_Iteration7_Loop_7-phaseTemplate_p9.smt2,,ok,unsat,62.2,0,62.0,408.8
